ID,Street,Date,Consumption_kWh_per_minute
6656743defc2d6eae2b6ea42,221 Apple Lane,20061216,0.1012
6656743eefc2d6eae2b6ea46,222 Orange Avenue,20061216,0.1012
6656743fefc2d6eae2b6ea4a,223 Cherry Lane,20061216,0.1012
66567440efc2d6eae2b6ea4e,224 Grape Street,20061216,0.1012
66567441efc2d6eae2b6ea52,225 Banana Boulevard,20061216,0.1012
66567442efc2d6eae2b6ea55,221 Apple Lane,20061216,0.0756
66567443efc2d6eae2b6ea59,222 Orange Avenue,20061216,0.0756
66567444efc2d6eae2b6ea5d,223 Cherry Lane,20061216,0.0756
66567445efc2d6eae2b6ea61,224 Grape Street,20061216,0.0756
66567446efc2d6eae2b6ea65,225 Banana Boulevard,20061216,0.0756
66567472efc2d6eae2b6eae1,223 Cherry Lane,20061216,0.07007
66567473efc2d6eae2b6eae5,224 Grape Street,20061216,0.07007
66567474efc2d6eae2b6eae9,225 Banana Boulevard,20061216,0.07007
66567475efc2d6eae2b6eaeb,224 Grape Street,20061216,0.07347
66567475efc2d6eae2b6eaee,221 Apple Lane,20061216,0.0703
66567476efc2d6eae2b6eaf0,225 Banana Boulevard,20061216,0.07347
66567477efc2d6eae2b6eaf4,221 Apple Lane,20061216,0.04853
66567478efc2d6eae2b6eaf8,222 Orange Avenue,20061216,0.04853
66567479efc2d6eae2b6eafc,223 Cherry Lane,20061216,0.04853
6656747aefc2d6eae2b6eb00,224 Grape Street,20061216,0.04853
6656747befc2d6eae2b6eb04,225 Banana Boulevard,20061216,0.04853
6656747cefc2d6eae2b6eb08,221 Apple Lane,20061216,0.03877
6656747defc2d6eae2b6eb0c,222 Orange Avenue,20061216,0.03877
6656747eefc2d6eae2b6eb10,223 Cherry Lane,20061216,0.03877
